Sumber Air,No. Permohonan,Nama Lokasi,Lokasi Contoh Uji,Titik Koordinat,Parameter,Satuan,Tahun,Bulan,Konsentrasi,Baku Mutu,Metode Uji
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Residu Terlarut (TDS),mg/L,2021,Juli,182.0,1000,TDS portablemeter
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Residu Tersuspensi (TSS),mg/L,2021,Juli,4.4,75,SNI  6989.3 - 2019
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Suhu,?C,2021,Juli,28.2,suhu udara ? 3?C,SNI 06 - 6989.23 - 2005
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",DHL,?mhos/cm,2021,Juli,364.0,Tidak dipersyaratkan,SNI 6989.1:2019
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Warna,TCU,2021,Juli,39.8,50,SNI 6989.80:2011
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Fluorida,mg/L,2021,Juli,0.37,1.5,SNI 06-6989.29-2005
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Suhu Udara,?C,2021,Juli,0.0,suhu udara +-3,SNI 06-6989.23-2005
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Nitrit ,mg/L,2021,Juli,0.114,Tidak dipersyaratkan,SNI-06-6989-9-2004
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",pH,,2021,Juli,7.31,9-Jun,SNI 6989.11 : 2019
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",klorida,mg/L,2021,Juli,20.0,800,SNI 6989.19-2009
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",COD,mg/L,2021,Juli,21.5,25,SNI 6989.2-2019
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",BOD,mg/L,2021,Juli,2.5,3,SNI 6989.72 :2009
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",DO,mg/L,2021,Juli,6.3,4,APHA 4500-O G. 2017
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Cu Terlarut,mg/L,2021,Juli,0.018,0.02,SNI 6989.6: 2009
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Zn Terlarut,mg/L,2021,Juli,0.015,Tidak dipersyaratkan,SNI-06-6989.84:2019
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Klorin total,mg/L,2021,Juli,0.08,0.03,Merck Colorimetric DPD
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Fosfat,mg/L,2021,Juli,0.61,Tidak dipersyaratkan,SNI 6989-31:2021
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Nitrat,mg/L,2021,Juli,10.7,10,APHA 4500-NO3-B 2019
Air Sungai,44,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Sianida,mg/L,2021,Juli,0.0,"0,02",Cyanide tes_Spectroquant
Mikrobiologi Air Sungai,45,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Faecal Coliform,MPN/100 ml,2021,Juli,220.0,1000,"APHA 22nd Edition, 9221 E, 2012"
Mikrobiologi Air Sungai,45,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Total coliform,MPN/100 ml,2021,Juli,170.0,5000,"APHA 22nd Edition, 9221 B, 2012"
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Residu Terlarut (TDS),mg/L,2021,Agustus,205.0,1000,TDS portablemeter
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Residu Tersuspensi (TSS),mg/L,2021,Agustus,1.2,75,SNI  6989.3 - 2019
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Suhu,?C,2021,Agustus,29.2,suhu udara ? 3?C,SNI 06 - 6989.23 - 2005
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",DHL,?mhos/cm,2021,Agustus,408.0,Tidak dipersyaratkan,SNI 6989.1:2019
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Warna,TCU,2021,Agustus,49.7,50,SNI 6989.80:2011
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Fluorida,mg/L,2021,Agustus,0.5,1.5,SNI 06-6989.29-2005
